last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_double,b_triple,b_home_run,batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Adams, Matt,2019,31,310,70,36,14,0,20,.226,.229,.481,.306,.319,.282,.250,88.6,19.5,14.8,
Altherr, Aaron,2019,28,61,5,2,2,0,1,.082,.162,.279,.135,.212,.212,.115,85.3,16.8,5.4,
Arenado, Nolan,2019,28,588,185,111,31,2,41,.315,.271,.482,.392,.343,.342,.208,89.4,17.5,8.0,
Barnhart, Tucker,2019,28,316,73,48,14,0,11,.231,.220,.325,.301,.280,.319,.102,86.5,11.8,3.0,
Bour, Justin,2019,31,151,26,13,5,0,8,.172,.188,.374,.267,.280,.274,.182,89.2,10.4,11.0,
Corbin, Patrick,2019,30,65,6,5,1,0,0,.092,.099,.126,.112,.120,.139,.024,81.9,-5.8,0.0,
Farmer, Kyle,2019,29,183,42,27,6,0,9,.230,.222,.386,.287,.278,.272,.163,85.4,17,5.6,
Gennett, Scooter,2019,29,133,30,21,7,0,2,.226,.201,.292,.241,.222,.225,.090,86.3,13.2,2.1,
Goodwin, Brian,2019,29,413,108,59,29,3,17,.262,.238,.413,.332,.306,.307,.173,87.6,17.8,6.3,
Hamilton, Billy,2019,29,316,69,53,14,2,0,.218,.237,.274,.251,.264,.306,.032,80.7,14.9,0.0,
Haniger, Mitch,2019,29,246,54,25,13,1,15,.220,.225,.456,.326,.327,.319,.230,88.4,18.5,12.0,
Hernandez, Enrique,2019,28,414,98,61,19,1,17,.237,.238,.407,.302,.305,.308,.167,88.4,19.1,5.9,
Holt, Brock,2019,31,259,77,58,14,2,3,.297,.267,.367,.333,.313,.347,.097,87.5,10.7,1.5,
Lamb, Jake,2019,29,187,36,20,8,2,6,.193,.224,.422,.297,.335,.354,.198,90.7,13.6,8.2,
Maile, Luke,2019,28,119,18,13,2,1,2,.151,.212,.336,.194,.258,.262,.121,84.7,13,4.5,
Matz, Steven,2019,28,57,13,12,0,0,1,.228,.261,.383,.217,.272,.261,.119,83.6,8.1,2.3,
Mikolas, Miles,2019,31,59,8,7,1,0,0,.136,.138,.167,.124,.132,.138,.026,81.9,4.1,0.0,
Muncy, Max,2019,29,487,122,64,22,1,35,.251,.270,.523,.373,.386,.391,.251,89.8,14.2,12.3,
Murphy, John Ryan,2019,28,63,11,4,3,0,4,.175,.207,.399,.276,.286,.276,.192,87.9,18.1,11.1,
Myers, Wil,2019,29,435,104,63,22,1,18,.239,.242,.436,.317,.323,.324,.193,90.2,11.9,11.2,
Naquin, Tyler,2019,28,274,79,50,19,0,10,.288,.273,.468,.330,.324,.311,.192,90.7,12.1,9.0,
Owings, Chris,2019,28,180,25,15,6,1,3,.139,.175,.286,.198,.232,.242,.109,86.9,7.7,6.9,
Phegley, Josh,2019,31,314,75,45,18,0,12,.239,.249,.373,.291,.286,.292,.121,84.1,17.2,3.1,
Piscotty, Stephen,2019,28,357,89,58,17,1,13,.249,.252,.443,.306,.322,.313,.188,89.2,12.6,7.9,
Pollock, A.J.,2019,32,308,82,51,15,1,15,.266,.262,.456,.333,.332,.327,.191,90.6,13.2,8.0,
Rickard, Joey,2019,28,168,38,24,9,2,3,.226,.210,.315,.290,.272,.298,.102,84.7,17.4,3.4,
Seager, Kyle,2019,32,393,94,51,19,1,23,.239,.265,.487,.332,.350,.344,.221,89.4,18.5,8.4,
Taylor, Michael A.,2019,28,88,22,14,7,0,1,.250,.221,.383,.289,.283,.279,.160,91.5,8.9,7.1,
Voit, Luke,2019,28,429,113,70,21,1,21,.263,.247,.493,.360,.363,.365,.242,89.8,12.5,13.2,
Walker, Christian,2019,28,529,137,81,26,1,29,.259,.260,.513,.346,.360,.350,.251,91.1,14.4,13.1,
Zunino, Mike,2019,28,266,44,24,10,1,9,.165,.192,.377,.235,.269,.256,.184,88.4,18.8,11.3,
Goins, Ryan,2019,31,144,36,27,6,1,2,.250,.213,.304,.298,.271,.300,.088,87.4,7.3,1.0,
Carpenter, Matt,2019,34,416,94,57,20,2,15,.226,.231,.427,.315,.333,.341,.194,88,18.9,7.8,
Dickerson, Corey,2019,30,260,79,37,28,2,12,.304,.264,.473,.368,.316,.304,.208,87.1,16.1,8.2,
Dozier, Brian,2019,32,416,99,59,20,0,20,.238,.242,.433,.329,.332,.344,.190,88.5,18.9,6.7,
Garneau, Dustin,2019,32,86,21,13,5,0,3,.244,.221,.355,.330,.305,.330,.133,84.5,20.4,4.7,
Saladino, Tyler,2019,30,65,8,6,0,0,2,.123,.186,.320,.187,.249,.255,.132,88.2,4.3,5.1,
Yastrzemski, Michael,2019,29,371,101,55,22,3,21,.272,.259,.512,.353,.345,.322,.251,89.6,19.4,11.2,
Contreras, Willson,2019,27,360,98,54,18,2,24,.272,.247,.473,.368,.340,.334,.225,88.5,7.1,11.5,
Gyorko, Jedd,2019,31,92,16,13,1,0,2,.174,.202,.338,.224,.264,.273,.134,85.8,15.7,4.4,
Iglesias, Jose,2019,29,504,145,110,21,3,11,.288,.270,.368,.306,.288,.302,.093,84.2,6.8,2.5,
Hechavarria, Adeiny,2019,30,203,49,27,12,1,9,.241,.236,.408,.312,.302,.296,.169,87.7,11,6.4,
Osuna, Jose,2019,27,261,69,39,20,0,10,.264,.273,.445,.320,.327,.322,.169,89.2,9.5,5.1,
Valera, Breyvic,2019,27,47,11,7,2,1,1,.234,.232,.333,.298,.280,.306,.101,85.9,16.7,0.0,
Austin, Tyler,2019,28,154,29,14,5,1,9,.188,.197,.448,.298,.316,.304,.249,91.5,14.6,15.9,
Bryant, Kris,2019,27,543,153,86,35,1,31,.282,.247,.461,.380,.348,.352,.212,87.5,19.1,9.3,
Canha, Mark,2019,30,410,112,67,16,3,26,.273,.247,.468,.386,.361,.375,.219,89.1,14.8,9.5,
Casali, Curt,2019,31,207,52,35,9,0,8,.251,.233,.395,.316,.307,.318,.160,87.2,18.8,6.0,
Castellanos, Nick,2019,27,615,178,90,58,3,27,.289,.282,.545,.358,.364,.332,.262,89,13.7,11.2,
DeShields, Delino,2019,27,357,89,66,15,4,4,.249,.234,.325,.295,.282,.311,.089,86.9,13.5,2.2,
Drury, Brandon,2019,27,418,91,54,21,1,15,.218,.246,.425,.271,.303,.290,.178,86.9,13.5,9.1,
Gamel, Ben,2019,27,311,77,52,18,0,7,.248,.234,.348,.308,.300,.327,.112,88.2,10,3.8,
Goodrum, Niko,2019,27,423,105,61,27,5,12,.248,.239,.391,.316,.303,.315,.150,89.3,12.7,6.3,
Gray, Jon,2019,28,47,3,3,0,0,0,.064,.102,.117,.094,.136,.156,.011,77.2,1.5,0.0,
Healy, Ryon,2019,27,169,40,17,16,0,7,.237,.242,.451,.308,.323,.302,.206,89.7,16.6,9.8,
Holaday, Bryan,2019,32,115,32,22,6,0,4,.278,.243,.346,.326,.282,.313,.100,88.2,11.4,1.0,
Jones, JaCoby,2019,27,298,70,37,19,3,11,.235,.247,.437,.312,.321,.322,.188,91.6,13.9,10.7,
Judge, Aaron,2019,27,378,103,57,18,1,27,.272,.278,.577,.382,.399,.388,.297,95.9,11.3,20.2,
Machado, Manny,2019,27,587,150,95,21,2,32,.256,.264,.465,.335,.341,.343,.198,91.2,12.7,8.0,
