last_name, first_name,year,player_age,b_ab,b_total_hits,b_single,b_double,b_triple,b_home_run,batting_avg,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Perez, Michael,2019,27,46,10,5,5,0,0,.217,.176,.343,.303,.292,.310,.166,92.5,14.1,7.4,
Skole, Matt,2019,30,72,15,13,2,0,0,.208,.196,.238,.232,.229,.265,.041,82,17,0.0,
Smith, Mallex,2019,26,510,116,82,19,9,6,.227,.216,.294,.278,.263,.290,.074,85.2,7.1,2.2,
Spangenberg, Cory,2019,28,95,22,16,2,2,2,.232,.219,.317,.267,.249,.266,.094,85.1,-0.1,5.0,
Starling, Bubba,2019,27,186,40,29,7,0,4,.215,.213,.305,.247,.244,.253,.088,81.8,11.9,2.3,
Tilson, Charlie,2019,27,144,33,27,5,0,1,.229,.234,.308,.256,.265,.297,.071,86.9,4.7,2.8,
Castro, Harold,2019,26,354,103,84,10,4,5,.291,.265,.377,.292,.283,.282,.108,87.2,8.2,3.6,
Arcia, Orlando,2019,25,494,110,78,16,1,15,.223,.232,.366,.269,.283,.295,.131,88,6.5,4.6,
Tapia, Raimel,2019,25,426,117,80,23,5,9,.275,.255,.372,.307,.284,.290,.113,87.6,7.1,3.7,
Aquino, Aristides,2019,25,205,53,26,8,0,19,.259,.247,.498,.360,.332,.306,.250,87.9,17.9,13.6,
Hernandez, Teoscar,2019,27,417,96,49,19,2,26,.230,.218,.445,.325,.311,.295,.226,91.2,15.1,11.7,
Peraza, Jose,2019,25,376,90,64,18,2,6,.239,.265,.358,.272,.289,.311,.091,85,16.8,0.3,
Marte, Ketel,2019,26,569,187,110,36,9,32,.329,.298,.520,.405,.369,.361,.219,90,11.3,9.3,
Greiner, Grayson,2019,27,208,42,31,5,1,5,.202,.193,.320,.242,.243,.244,.126,86.7,11.6,5.7,
Nimmo, Brandon,2019,26,199,44,24,11,1,8,.221,.220,.349,.340,.331,.382,.127,89.3,11.8,6.8,
Peterson, Jace,2019,29,100,22,16,3,1,2,.220,.243,.371,.258,.282,.290,.125,88.4,10,3.9,
Turner, Trea,2019,26,521,155,94,37,5,19,.298,.282,.454,.356,.336,.340,.169,90.4,9.7,6.8,
Smith, Kevan,2019,31,191,48,31,12,0,5,.251,.287,.449,.306,.341,.350,.159,89.4,5.3,6.5,
Beaty, Matt,2019,26,249,66,37,19,1,9,.265,.277,.424,.324,.319,.329,.144,89.4,9.9,5.1,
Blandino, Alex,2019,27,36,9,7,1,0,1,.250,.216,.330,.345,.336,.396,.113,90.1,12.4,4.2,
Pillar, Kevin,2019,30,611,158,97,37,3,21,.259,.262,.406,.298,.294,.293,.142,86.4,13.8,4.9,
Stallings, Jacob,2019,30,191,50,39,5,0,6,.262,.258,.421,.297,.311,.322,.159,89.2,11.1,5.9,
Travis, Sam,2019,26,144,31,20,4,1,6,.215,.216,.367,.273,.272,.277,.149,88.9,7.4,7.3,
Williamson, Mac,2019,29,128,20,15,1,0,4,.156,.200,.294,.230,.261,.289,.092,85.3,8.3,3.6,
Ramirez, Jose,2019,27,482,123,64,33,3,23,.255,.270,.461,.335,.339,.344,.189,89.2,19.5,6.3,
Bregman, Alex,2019,25,554,164,84,37,2,41,.296,.272,.472,.418,.378,.407,.199,89.3,19.5,5.4,
Fried, Max,2019,25,56,11,7,4,0,0,.196,.196,.272,.236,.239,.262,.072,86.5,-4.4,0.0,
Gallo, Joey,2019,26,241,61,23,15,1,22,.253,.233,.609,.401,.398,.374,.375,94.7,22,26.4,
Kelly, Carson,2019,25,314,77,40,19,0,18,.245,.244,.463,.339,.335,.347,.218,89,13.9,8.9,
Russell, Addison,2019,25,215,51,37,4,1,9,.237,.226,.355,.297,.285,.301,.127,86.9,9,6.9,
Seager, Corey,2019,25,489,133,69,44,1,19,.272,.257,.459,.340,.329,.322,.199,88.8,13.7,7.3,
Williams, Nick,2019,26,106,16,10,4,0,2,.151,.218,.365,.193,.265,.260,.145,86.7,10.9,6.3,
Winker, Jesse,2019,26,338,91,56,17,2,16,.269,.280,.457,.353,.351,.367,.174,89.3,7,5.0,
Lugo, Dawel,2019,25,273,67,46,11,4,6,.245,.263,.393,.272,.290,.290,.127,86.8,7.7,4.6,
Marquez, German,2019,24,48,11,6,4,1,0,.229,.201,.270,.242,.198,.201,.067,81.2,8.4,2.3,
Mazara, Nomar,2019,24,429,115,68,27,1,19,.268,.267,.481,.327,.334,.320,.211,89.1,9.9,10.7,
Murphy, Tom,2019,28,260,71,40,12,1,18,.273,.217,.438,.355,.300,.273,.220,90.6,18.8,10.9,
Guzman, Ronald,2019,25,256,56,26,20,0,10,.219,.238,.434,.306,.326,.328,.195,85.7,14.8,9.2,
Mayfield, Jack,2019,29,64,10,3,5,0,2,.156,.171,.304,.204,.204,.184,.132,85.6,18.6,4.2,
Plawecki, Kevin,2019,28,158,35,22,10,0,3,.222,.221,.359,.273,.284,.289,.135,85.6,15.1,4.7,
Mondesi, Adalberto,2019,24,415,109,70,20,10,9,.263,.237,.383,.298,.282,.272,.143,88.7,10.1,8.6,
Reyes, Franmil,2019,24,494,123,67,19,0,37,.249,.262,.537,.338,.358,.326,.273,93.3,9.1,14.8,
Barreto, Franklin,2019,23,57,7,3,2,0,2,.123,.161,.303,.166,.201,.176,.139,89,5.9,11.8,
Urena, Richard,2019,23,74,18,12,6,0,0,.243,.204,.298,.258,.231,.235,.089,86.7,9.8,0.0,
Robertson, Daniel,2019,25,207,44,32,9,1,2,.213,.212,.293,.275,.275,.311,.079,87.7,5.4,1.4,
Lopes, Tim,2019,25,111,30,22,7,0,1,.270,.226,.326,.318,.286,.322,.099,85,8.3,3.6,
Martin, Richie,2019,25,283,59,42,8,3,6,.208,.220,.306,.252,.253,.271,.083,83.2,9.3,2.4,
Swanson, Dansby,2019,25,483,121,75,26,3,17,.251,.269,.477,.317,.345,.344,.206,89.9,14,10.1,
Newman, Kevin,2019,26,493,152,114,20,6,12,.308,.289,.387,.340,.311,.335,.095,85.3,8.2,2.1,
Taylor, Chris,2019,29,366,96,51,29,4,12,.262,.236,.394,.331,.299,.311,.155,86.1,13.6,5.8,
Correa, Carlos,2019,25,280,78,40,16,1,21,.279,.290,.559,.380,.391,.376,.269,89,12.4,13.5,
Eflin, Zach,2019,25,50,8,7,1,0,0,.160,.161,.207,.146,.159,.161,.044,81.9,15.1,0.0,
Buehler, Walker,2019,25,59,5,4,0,0,1,.085,.104,.171,.130,.153,.161,.065,88.1,-6.3,3.4,
Dahl, David,2019,25,374,113,65,28,5,15,.302,.265,.480,.364,.338,.322,.211,88.7,11,10.3,
Phillips, Brett,2019,25,65,9,5,2,0,2,.138,.148,.256,.228,.239,.261,.105,87.6,13.5,4.3,
Buxton, Byron,2019,26,271,71,27,30,4,10,.262,.247,.431,.340,.307,.301,.181,90.1,20.2,8.3,
Brinson, Lewis,2019,25,226,39,29,9,1,0,.173,.197,.290,.205,.240,.258,.090,87,9.7,3.9,
Duggar, Steven,2019,26,261,61,43,12,2,4,.234,.236,.352,.265,.275,.282,.113,85.7,8.5,4.3,
Rios, Edwin,2019,25,47,13,6,2,1,4,.277,.252,.591,.413,.394,.372,.337,95,5.4,26.9,
Stewart, DJ,2019,26,126,30,20,6,0,4,.238,.232,.396,.299,.300,.313,.162,87.9,12.3,6.9,
Nido, Tomas,2019,25,136,26,17,5,0,4,.191,.199,.324,.228,.237,.238,.121,87.3,7.1,5.0,
Stewart, Christin,2019,26,369,86,50,25,1,10,.233,.242,.429,.294,.315,.315,.184,86.9,19,7.4,
Bemboom, Anthony,2019,29,54,7,5,1,0,1,.130,.127,.211,.149,.151,.143,.083,83.7,22.7,2.9,
Wendle, Joey,2019,29,238,55,37,13,2,3,.231,.253,.333,.275,.284,.314,.079,87.4,11.4,1.5,
Olson, Matt,2019,25,483,129,67,26,0,36,.267,.283,.582,.368,.390,.365,.295,92.6,18.8,14.5,
Dean, Austin,2019,26,178,40,20,14,0,6,.225,.250,.418,.276,.294,.286,.165,88.7,8.8,6.0,
Duffy, Matt,2019,28,147,37,28,8,0,1,.252,.255,.329,.299,.307,.350,.070,87,5.3,1.7,
Munoz, Yairo,2019,24,172,46,36,7,1,2,.267,.216,.303,.281,.243,.251,.081,84.7,5.9,1.5,
Castillo, Luis,2019,27,62,6,5,1,0,0,.097,.117,.141,.090,.108,.117,.023,79.8,14.4,0.0,
Margot, Manuel,2019,25,398,93,59,19,3,12,.234,.233,.336,.296,.278,.303,.101,87.7,14,3.5,
Reyes, Pablo,2019,26,143,29,18,7,2,2,.203,.192,.284,.260,.244,.264,.091,88.2,12.3,3.7,
Camargo, Johan,2019,26,232,54,34,12,1,7,.233,.247,.359,.279,.280,.293,.108,86.9,10.9,3.7,
Reyes, Victor,2019,25,276,84,60,16,5,3,.304,.281,.378,.325,.298,.315,.094,87.5,9,1.9,
Bishop, Braden,2019,26,56,6,6,0,0,0,.107,.163,.199,.124,.186,.206,.029,83.1,12.4,0.0,
Bote, David,2019,26,303,78,50,17,0,11,.257,.248,.381,.336,.320,.355,.131,89.7,7.2,5.7,
Ramirez, Harold,2019,25,421,116,82,20,3,11,.276,.275,.412,.308,.309,.313,.133,88.9,3.6,6.3,
Santander, Anthony,2019,25,380,99,58,20,1,20,.261,.258,.457,.321,.316,.295,.196,89.9,14.8,7.7,
Alonso, Pete,2019,25,597,155,70,30,2,53,.260,.253,.538,.384,.372,.354,.284,90.7,14.3,15.8,
Arroyo, Christian,2019,24,50,11,7,2,0,2,.220,.230,.368,.296,.298,.313,.136,84.4,5.3,6.1,
Biggio, Cavan,2019,24,354,83,48,17,2,16,.234,.239,.425,.343,.345,.368,.185,88.9,19.8,9.0,
Conforto, Michael,2019,26,549,141,78,29,1,33,.257,.262,.503,.358,.367,.369,.240,89.2,15.8,11.9,
Frazier, Adam,2019,28,554,154,104,33,7,10,.278,.272,.396,.320,.312,.331,.121,87.1,12.8,1.9,
Trevino, Jose,2019,27,120,31,20,9,0,2,.258,.252,.362,.274,.266,.268,.107,86.8,8.3,2.1,
McGuire, Reese,2019,24,97,29,17,7,0,5,.299,.268,.402,.364,.309,.317,.129,86.7,13.1,3.8,
Puig, Yasiel,2019,29,555,148,92,30,2,24,.267,.265,.464,.330,.334,.327,.196,89.9,14,9.6,
Soler, Jorge,2019,27,589,156,74,33,1,48,.265,.276,.591,.378,.391,.364,.314,92.6,15.3,16.9,
Maeda, Kenta,2019,31,48,12,10,2,0,0,.250,.216,.249,.232,.203,.216,.029,82.8,7.8,0.0,
Heredia, Guillermo,2019,28,204,46,28,13,0,5,.225,.243,.342,.291,.295,.323,.097,86.6,12.5,2.7,
Kang, Jung Ho,2019,32,172,29,11,7,1,10,.169,.214,.424,.256,.289,.264,.209,92.2,13.5,11.5,
Ervin, Phillip,2019,27,236,64,39,11,7,7,.271,.234,.370,.334,.295,.302,.134,85.1,14.5,5.1,
Frazier, Clint,2019,25,225,60,34,14,0,12,.267,.242,.459,.333,.314,.296,.215,88.5,14.7,10.8,
Meadows, Austin,2019,24,530,154,85,29,7,33,.291,.282,.545,.380,.370,.356,.261,90.4,16.4,12.5,
Mercado, Oscar,2019,25,438,118,75,25,3,15,.269,.257,.398,.321,.304,.309,.138,88,14.3,4.1,
Pinder, Chad,2019,27,341,82,48,21,0,13,.240,.251,.438,.298,.312,.301,.186,90.7,8.6,8.2,
Anderson, Tim,2019,26,498,167,117,32,0,18,.335,.291,.458,.363,.325,.315,.163,88.3,8.4,5.1,
Bauers, Jake,2019,24,372,84,55,16,1,12,.226,.223,.350,.296,.289,.310,.125,88.1,14.7,5.0,
Bellinger, Cody,2019,24,558,170,86,34,3,47,.305,.323,.638,.415,.429,.424,.314,91.1,17.9,13.0,
Calhoun, Willie,2019,25,309,83,47,14,1,21,.269,.266,.449,.351,.328,.323,.182,89.7,17.3,6.2,
Collins, Zack,2019,24,86,16,9,3,1,3,.186,.195,.437,.285,.317,.315,.239,90.7,15.3,14.9,
Cordell, Ryan,2019,27,217,48,33,8,0,7,.221,.215,.359,.279,.276,.286,.142,88.9,19.4,6.5,
Crawford, J.P.,2019,24,345,78,46,21,4,7,.226,.234,.334,.296,.292,.322,.097,85,11.9,3.4,
Davis, Jonathan,2019,27,83,15,12,1,0,2,.181,.232,.371,.240,.300,.312,.135,84.6,12.3,3.3,
Demeritte, Travis,2019,25,169,38,26,7,2,3,.225,.229,.357,.272,.279,.291,.126,91.2,16.1,3.7,
Dixon, Brandon,2019,27,391,97,58,20,4,15,.248,.239,.442,.303,.306,.285,.201,89.5,16.8,11.2,
Dozier, Hunter,2019,28,523,146,81,29,10,26,.279,.260,.469,.360,.336,.332,.208,91.1,16.6,10.0,
Engel, Adam,2019,28,227,55,37,10,2,6,.242,.225,.342,.296,.276,.288,.112,86.4,11,5.3,
Garver, Mitch,2019,28,311,85,37,16,1,31,.273,.253,.570,.405,.378,.347,.315,91.1,15,15.5,
Guillorme, Luis,2019,25,61,15,10,4,0,1,.246,.237,.398,.299,.307,.315,.159,87,15.9,6.1,
Hampson, Garrett,2019,25,299,74,53,9,4,8,.247,.231,.333,.292,.270,.287,.099,85.8,13,3.7,
Hudson, Dakota,2019,25,51,4,4,0,0,0,.078,.106,.120,.081,.109,.123,.013,83.5,-10.9,0.0,
Lewis, Kyle,2019,24,71,19,8,5,0,6,.268,.253,.578,.357,.348,.281,.324,90.3,9.7,23.3,
Locastro, Tim,2019,27,212,53,38,12,2,1,.250,.235,.301,.314,.298,.345,.062,84.4,13.2,1.2,
Mancini, Trey,2019,27,602,175,100,38,2,35,.291,.282,.509,.373,.363,.358,.224,90.3,7.6,10.3,
McKinney, Billy,2019,25,251,54,27,14,1,12,.215,.229,.374,.292,.285,.288,.145,86.7,15.2,6.6,
McMahon, Ryan,2019,25,480,120,73,22,1,24,.250,.243,.427,.330,.321,.324,.182,91.8,8.4,9.0,
Neuse, Sheldon,2019,25,56,14,11,3,0,0,.250,.262,.372,.262,.293,.306,.107,90.6,10,5.3,
O'Neill, Tyler,2019,24,141,37,26,6,0,5,.262,.219,.393,.308,.282,.271,.172,89.2,19.2,8.0,
Sisco, Chance,2019,24,167,35,20,7,0,8,.210,.223,.418,.319,.332,.344,.194,89.5,16.4,10.4,
Smith, Dominic,2019,24,177,50,29,10,0,11,.282,.247,.443,.368,.326,.323,.194,88.3,14.9,7.5,
Tellez, Rowdy,2019,24,370,84,44,19,0,21,.227,.248,.473,.308,.329,.315,.223,90.7,13.8,13.2,
Thaiss, Matt,2019,24,147,31,16,7,0,8,.211,.216,.371,.303,.290,.297,.153,89.1,15.7,6.3,
Valaika, Pat,2019,27,79,15,8,5,1,1,.190,.166,.267,.248,.223,.234,.100,88.8,20,4.4,
VanMeter, Josh,2019,24,228,54,32,13,1,8,.237,.240,.414,.316,.322,.330,.170,90,16.2,4.0,
Wade, Tyler,2019,25,94,23,17,3,1,2,.245,.225,.335,.303,.285,.312,.108,86.9,12.6,5.9,
Mejia, Francisco,2019,24,226,60,39,11,2,8,.265,.230,.381,.317,.286,.284,.149,88.4,19.3,4.7,
Rosario, Amed,2019,24,616,177,125,30,7,15,.287,.288,.420,.318,.318,.325,.129,89.4,8.6,4.2,
Adames, Willy,2019,24,531,135,89,25,1,20,.254,.248,.432,.313,.315,.311,.182,88.5,10.5,8.4,
Gutierrez, Kelvin,2019,25,73,19,15,2,1,1,.260,.199,.285,.284,.238,.252,.083,89.9,-1.9,4.0,
Estrada, Thairo,2019,23,64,16,10,3,0,3,.250,.260,.416,.308,.302,.303,.153,88.6,6.5,4.0,
Wynns, Austin,2019,29,70,15,13,1,0,1,.214,.230,.313,.227,.246,.261,.082,87,6.2,1.8,
Benintendi, Andrew,2019,25,541,144,86,40,5,13,.266,.266,.460,.330,.339,.343,.192,89,17.2,8.1,
Brault, Steven,2019,27,42,14,12,1,0,1,.333,.270,.371,.332,.280,.287,.099,85.1,5.9,2.4,
Cooper, Garrett,2019,29,381,107,75,16,1,15,.281,.269,.464,.337,.340,.336,.192,89.1,4.4,9.6,
Dubon, Mauricio,2019,25,106,29,20,5,0,4,.274,.246,.356,.313,.275,.280,.109,84.8,9.2,2.3,
Jansen, Danny,2019,24,347,72,46,12,1,13,.207,.242,.413,.275,.309,.310,.169,88.9,16.1,5.9,
Kemp, Tony,2019,28,245,52,31,9,4,8,.212,.209,.295,.285,.263,.292,.083,86.3,14.8,1.5,
Kiner-Falefa, Isiah,2019,24,202,48,34,12,1,1,.238,.222,.297,.272,.256,.285,.072,87.2,6.5,1.3,
Long Jr., Shed,2019,24,152,40,22,12,1,5,.263,.214,.332,.333,.270,.288,.117,87.6,10.4,6.3,
McBroom, Ryan,2019,27,75,22,17,5,0,0,.293,.246,.425,.318,.320,.319,.174,84.9,6.2,8.0,
McNeil, Jeff,2019,27,510,162,100,38,1,23,.318,.295,.476,.385,.358,.364,.178,89,13.6,4.8,
Tauchman, Mike,2019,29,260,72,40,18,1,13,.277,.245,.410,.364,.322,.334,.162,88.7,10.9,6.3,
White, Tyler,2019,29,240,50,33,14,0,3,.208,.202,.306,.274,.274,.304,.101,86.1,12.4,3.6,
Chang, Yu,2019,24,73,13,9,2,1,1,.178,.209,.370,.254,.301,.312,.157,87.9,9.9,5.9,
Alcantara, Sandy,2019,24,58,5,4,1,0,0,.086,.069,.092,.102,.089,.100,.021,84.1,-8.8,6.7,
Albies, Ozzie,2019,22,640,189,114,43,8,24,.295,.288,.488,.354,.349,.346,.197,88.9,15.4,6.6,
Robles, Victor,2019,22,546,139,86,33,3,17,.255,.240,.376,.317,.297,.313,.134,83.3,16.6,4.8,
Ford, Mike,2019,27,143,37,18,7,0,12,.259,.284,.496,.372,.365,.371,.210,91.9,15.6,9.6,
Devers, Rafael,2019,23,647,201,111,54,4,32,.311,.292,.516,.377,.358,.345,.222,92.4,10.3,9.0,
Naylor, Josh,2019,22,253,63,40,15,0,8,.249,.237,.374,.306,.294,.305,.132,89.6,4.2,6.3,
Soroka, Mike,2019,22,52,4,4,0,0,0,.077,.138,.155,.112,.170,.199,.013,79.1,-8.8,0.0,
Toro, Abraham,2019,23,78,17,10,3,2,2,.218,.228,.381,.295,.299,.313,.151,86.9,7.1,5.0,
Diaz, Aledmys,2019,29,210,57,35,12,1,9,.271,.268,.423,.345,.339,.360,.153,88.3,12.2,6.4,
Urias, Luis,2019,22,215,48,35,8,1,4,.223,.229,.351,.294,.303,.334,.121,87.3,9.7,4.4,
Arraez, Luis,2019,22,326,109,84,20,1,4,.334,.288,.408,.360,.334,.360,.116,87.1,11.3,2.7,
Jimenez, Eloy,2019,23,468,125,74,18,2,31,.267,.265,.517,.343,.347,.315,.250,91.2,9,12.8,
Torres, Gleyber,2019,23,546,152,88,26,0,38,.278,.260,.493,.359,.339,.322,.232,89.1,17.3,10.1,
Castro, Willi,2019,22,100,23,15,6,1,1,.230,.208,.296,.270,.246,.265,.087,84.7,18.1,1.5,
Diaz, Yandy,2019,28,307,82,47,20,1,14,.267,.280,.487,.342,.355,.354,.204,91.7,5.2,10.4,
Viloria, Meibrys,2019,22,133,28,20,7,0,1,.211,.185,.240,.236,.215,.238,.053,87.5,4.9,1.1,
Rengifo, Luis,2019,22,357,85,57,18,3,7,.238,.231,.360,.298,.299,.317,.126,87.1,9.1,6.0,
Allen, Greg,2019,26,231,53,37,9,3,4,.229,.237,.342,.274,.283,.298,.102,87.4,9.3,2.7,
Chapman, Matt,2019,26,583,145,70,36,3,36,.249,.252,.502,.354,.358,.345,.248,92.6,16,12.3,
Chavis, Michael,2019,24,347,88,59,10,1,18,.254,.218,.409,.323,.295,.290,.189,88.8,11.6,11.4,
Diaz, Isan,2019,23,179,31,19,5,2,5,.173,.181,.318,.248,.256,.265,.136,88.5,17.9,7.4,
Flaherty, Jack,2019,24,54,10,7,3,0,0,.185,.216,.270,.195,.219,.242,.053,86.5,6.7,0.0,
Haseley, Adam,2019,23,222,59,40,14,0,5,.266,.219,.327,.309,.263,.280,.106,87.3,4.5,3.7,
Hilliard, Sam,2019,25,77,21,8,4,2,7,.273,.237,.475,.407,.338,.325,.235,90.8,8,13.0,
Hoskins, Rhys,2019,26,570,129,62,33,5,29,.226,.220,.426,.347,.342,.362,.203,89.7,23.9,9.7,
Luplow, Jordan,2019,26,225,62,31,15,1,15,.276,.247,.466,.383,.346,.348,.218,89.6,15.9,12.1,
Mullins, Cedric,2019,25,64,6,4,0,2,0,.094,.166,.247,.159,.223,.245,.078,84.2,14.9,1.9,
O'Hearn, Ryan,2019,26,328,64,36,13,1,14,.195,.227,.411,.279,.308,.311,.182,90.5,12.9,9.1,
Schwarber, Kyle,2019,26,529,132,62,29,3,38,.250,.269,.555,.357,.376,.358,.284,93.5,15.1,14.5,
Tucker, Cole,2019,23,147,31,16,10,3,2,.211,.246,.369,.264,.284,.298,.121,87.8,6.9,4.6,
Verdugo, Alex,2019,23,343,101,65,22,2,12,.294,.286,.450,.341,.330,.336,.162,89.4,8.6,5.7,
DeJong, Paul,2019,26,583,136,74,31,1,30,.233,.233,.436,.322,.322,.320,.201,87,18.2,8.6,
Laureano, Ramon,2019,25,434,125,72,29,0,24,.288,.272,.485,.356,.341,.328,.211,89.6,14.7,9.7,
Fuentes, Josh,2019,26,55,12,8,1,0,3,.218,.175,.269,.262,.194,.189,.092,84.5,7.4,2.9,
Moncada, Yoan,2019,24,511,161,97,34,5,25,.315,.290,.523,.380,.361,.345,.231,93.1,12.2,12.2,
Ohtani, Shohei,2019,25,384,110,67,20,5,18,.286,.280,.484,.352,.347,.339,.201,92.8,6.4,12.2,
Acuna Jr., Ronald,2019,22,626,175,110,22,2,41,.280,.279,.571,.369,.386,.365,.290,90.6,14,15.0,
Hoerner, Nico,2019,22,78,22,17,1,1,3,.282,.319,.407,.305,.319,.343,.086,85.6,3.7,1.5,
Riley, Austin,2019,22,274,62,32,11,1,18,.226,.225,.455,.307,.304,.280,.230,89.4,20.5,13.7,
Tucker, Kyle,2019,22,67,18,8,6,0,4,.269,.259,.523,.349,.341,.311,.262,92,16.3,12.8,
Grisham, Trent,2019,23,156,36,22,6,2,6,.231,.227,.366,.314,.302,.325,.137,87.6,16,5.4,
Rodgers, Brendan,2019,23,76,17,15,2,0,0,.224,.165,.238,.234,.202,.217,.070,86.9,7.2,4.1,
Lowe, Nate,2019,24,152,40,25,8,0,7,.263,.256,.454,.326,.325,.318,.197,91.3,12.8,10.6,
Happ, Ian,2019,25,140,37,18,7,1,11,.264,.255,.525,.368,.353,.326,.267,89.8,15.8,13.7,
France, Ty,2019,25,184,43,27,8,1,7,.234,.230,.390,.296,.291,.291,.158,88.9,14.7,5.9,
Lowe, Brandon,2019,25,296,80,44,17,2,17,.270,.246,.509,.354,.347,.317,.262,91.6,19.1,16.3,
Bader, Harrison,2019,25,347,71,42,14,3,12,.205,.221,.410,.293,.317,.329,.186,88.4,15,9.9,
Fletcher, David,2019,25,596,173,133,30,4,6,.290,.302,.381,.318,.323,.360,.076,83.9,9.7,0.4,
Kingery, Scott,2019,25,458,118,61,34,4,19,.258,.244,.432,.329,.312,.304,.186,88.4,17.4,8.0,
Allen, Austin,2019,25,65,14,10,4,0,0,.215,.190,.246,.230,.201,.258,.056,84.2,9.5,2.3,
Lucchesi, Joey,2019,26,48,3,3,0,0,0,.063,.051,.055,.067,.060,.071,.003,82,-4.3,0.0,
Moore, Dylan,2019,27,247,51,26,14,2,9,.206,.191,.335,.299,.276,.289,.143,88.4,19,6.5,
Garlick, Kyle,2019,27,48,12,5,4,0,3,.250,.222,.508,.342,.325,.295,.286,91.6,25,20.7,
Straw, Myles,2019,25,108,29,23,4,2,0,.269,.258,.337,.323,.320,.369,.074,84.7,8.7,1.2,
Wade Jr, LaMonte,2019,25,56,11,6,2,1,2,.196,.271,.441,.320,.373,.409,.167,88.7,11.6,6.4,
Brown, Seth,2019,27,75,22,12,8,2,0,.293,.228,.375,.347,.293,.303,.145,89,16.8,11.5,
Dini, Nick,2019,26,56,11,6,3,0,2,.196,.210,.342,.269,.283,.288,.131,89.7,24.3,7.5,
Walsh, Jared,2019,26,79,16,9,5,1,1,.203,.218,.401,.259,.289,.290,.183,91.3,14.1,13.6,
Tatis Jr., Fernando,2019,20,334,106,65,13,6,22,.317,.260,.491,.398,.346,.329,.229,90.4,6.6,13.2,
Guerrero Jr., Vladimir,2019,20,464,126,83,26,2,15,.272,.258,.431,.329,.325,.328,.169,89.4,6.3,7.7,
Soto, Juan,2019,21,542,153,82,32,5,34,.282,.284,.575,.394,.406,.404,.288,92,12.3,12.3,
Lux, Gavin,2019,22,75,18,11,4,1,2,.240,.288,.455,.301,.343,.349,.164,88.8,13.2,5.9,
Bichette, Bo,2019,21,196,61,32,18,0,11,.311,.274,.473,.384,.337,.324,.196,90,10.1,8.8,
Gurriel Jr., Lourdes,2019,26,314,87,46,19,2,20,.277,.256,.507,.358,.340,.311,.250,90.4,14.1,11.2,
Rogers, Jake,2019,24,112,14,7,3,0,4,.125,.124,.219,.216,.203,.221,.095,83,19.3,4.8,
Knizner, Andrew,2019,24,53,12,8,2,0,2,.226,.170,.284,.289,.234,.241,.107,88.1,7.3,2.6,
Reynolds, Bryan,2019,24,491,154,97,37,4,16,.314,.294,.474,.371,.355,.361,.179,89.5,9.1,6.7,
Rojas, Josh,2019,25,138,30,21,7,0,2,.217,.238,.413,.279,.324,.330,.171,89,9.9,6.2,
Murphy, Sean,2019,25,53,13,4,5,0,4,.245,.238,.476,.370,.340,.327,.235,90.7,7.3,8.1,
Senzel, Nick,2019,24,375,96,60,20,4,12,.256,.241,.407,.316,.302,.302,.163,87.8,10.9,8.0,
Edman, Tommy,2019,24,326,99,64,17,7,11,.304,.282,.436,.356,.327,.329,.151,87.4,13.8,5.3,
Solak, Nick,2019,24,116,34,22,6,1,5,.293,.258,.433,.375,.343,.362,.170,88.3,6.3,9.2,
Smith, Will,2019,24,170,43,19,9,0,15,.253,.222,.448,.369,.320,.312,.226,89.4,23.8,10.7,
Hiura, Keston,2019,23,314,95,51,23,2,19,.303,.264,.528,.388,.358,.333,.262,91.4,15.7,13.9,
Hays, Austin,2019,24,68,21,11,6,0,4,.309,.313,.497,.393,.373,.377,.182,91,11.5,5.5,
Lopez, Nicky,2019,24,379,91,65,22,2,2,.240,.231,.289,.260,.244,.268,.055,85.1,2.9,1.5,
Alvarez, Yordan,2019,22,313,98,45,26,0,27,.313,.287,.598,.432,.407,.392,.310,92.2,13,17.2,
Brosseau, Michael,2019,25,132,36,23,7,0,6,.273,.211,.356,.329,.268,.262,.141,86.5,13.9,4.3,
