"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"35",668670,"Jake Rogers","35","100.0","0.176","0.294","0.097","0.471","0.264","0.273","0.234","6","34","79.8","19.5","2295","87.7","87.69","0","35","0","0.0","6.12","106","152","118","145","296","324","292"
"35",665487,"Fernando Tatis Jr.","35","100.0","0.371","0.371","0.313","0.743","0.461","0.478","0.406","13","35","90.7","7.6","2236","90.2","89.65","0","35","0","-0.5","5.83","108","153","113","143","307","324","296"
"35",621466,"DJ Stewart","35","100.0","0.400","0.114","0.400","0.514","0.391","0.316","0.310","14","35","86.9","10.9","2217","88.6","88.82","0","35","0","0.2","6.29","118","158","133","140","293","324","302"
"35",624431,"Jose Trevino","35","100.0","0.353","0.206","0.333","0.559","0.384","0.317","0.300","12","34","86.4","0.6","2172","90.1","89.99","0","35","0","-0.1","6.16","107","149","117","146","307","315","277"
"34",542255,"Ender Inciarte","34","100.0","0.382","0.206","0.364","0.588","0.410","0.312","0.317","13","34","84.7","19.7","2265","89.7","89.44","0","34","0","-0.3","5.98","108","148","104","149","282","315","291"
"34",624512,"Reese McGuire","34","100.0","0.382","0.412","0.300","0.794","0.487","0.391","0.378","13","34","85.1","17.7","2282","89.2","88.78","0","34","0","-0.4","6.06","116","159","117","152","282","315","300"
"34",452254,"Hunter Pence","34","100.0","0.441","0.294","0.387","0.735","0.495","0.450","0.377","15","34","91.5","9.9","2170","87.0","86.69","0","34","0","-0.3","6.01","109","149","117","146","310","325","289"
"33",570731,"Jonathan Schoop","33","100.0","0.424","0.515","0.321","0.939","0.562","0.480","0.396","14","33","86.3","10.0","2288","89.3","89.31","0","33","0","0.0","6.09","106","152","121","146","300","323","295"
"33",545350,"Jake Marisnick","33","100.0","0.333","0.152","0.313","0.485","0.347","0.265","0.250","11","33","81.1","17.7","2139","86.9","86.36","0","33","0","-0.5","5.83","104","151","111","145","293","326","287"
"33",543377,"Corban Joseph","33","100.0","0.219","0.156","0.188","0.375","0.241","0.252","0.246","7","32","86.3","5.0","2104","88.5","88.28","0","33","0","-0.2","5.93","114","149","107","149","289","319","307"
"33",642082,"Chance Sisco","33","100.0","0.273","0.212","0.226","0.485","0.317","0.335","0.273","9","33","88.1","13.8","2250","90.7","90.62","0","33","0","-0.1","6.13","116","159","126","150","287","319","301"
"33",456078,"Welington Castillo","33","100.0","0.424","0.394","0.367","0.818","0.515","0.419","0.347","14","33","89.3","11.1","2178","89.9","89.79","0","33","0","-0.1","6.05","108","148","119","147","302","321","290"
"32",475174,"Yonder Alonso","32","100.0","0.281","0.219","0.233","0.500","0.327","0.293","0.258","9","32","87.1","10.7","2229","89.3","89.02","0","32","0","-0.3","5.91","118","164","130","153","302","332","309"
"32",435263,"Brian McCann","32","100.0","0.219","0.000","0.219","0.219","0.191","0.232","0.237","7","32","86.0","20.2","2288","89.5","89.19","0","32","0","-0.3","5.90","115","169","129","149","298","326","295"
"32",608577,"Nomar Mazara","32","100.0","0.387","0.355","0.333","0.742","0.454","0.371","0.334","12","31","86.1","17.5","2242","89.1","88.81","0","32","0","-0.3","5.98","117","150","121","150","299","327","309"
"32",621006,"Richie Martin","32","100.0","0.267","0.000","0.258","0.267","0.226","0.265","0.291","8","30","81.7","9.8","2157","90.3","90.17","0","32","0","-0.1","6.09","101","150","103","146","296","310","277"
"32",608596,"Tom Murphy","32","100.0","0.531","0.750","0.423","1.281","0.739","0.410","0.311","17","32","88.7","15.5","2196","88.5","88.23","0","32","0","-0.3","6.01","105","153","122","147","296","321","294"
"32",434158,"Curtis Granderson","32","100.0","0.281","0.219","0.233","0.500","0.327","0.380","0.323","9","32","91.2","17.6","2260","89.9","89.49","0","32","0","-0.4","5.91","119","168","132","151","298","324","304"
"31",571657,"Kyle Farmer","31","100.0","0.323","0.226","0.276","0.548","0.366","0.387","0.328","10","31","83.8","19.7","2246","87.6","87.08","0","31","0","-0.5","5.90","108","150","116","145","303","322","290"
"30",553869,"Elias Diaz","30","100.0","0.267","0.000","0.267","0.267","0.233","0.287","0.283","8","30","86.4","1.5","2173","89.4","89.08","0","30","0","-0.3","5.91","111","151","117","146","309","317","289"
"30",596451,"Roman Quinn","30","100.0","0.467","0.400","0.407","0.867","0.552","0.485","0.444","14","30","83.5","6.9","2185","88.6","88.40","0","30","0","-0.2","6.14","97","140","95","143","287","319","291"
"29",493596,"Gordon Beckham","29","100.0","0.379","0.069","0.379","0.448","0.357","0.373","0.369","11","29","84.9","14.0","2317","87.4","87.10","0","29","0","-0.3","5.98","109","153","120","147","298","319","284"
"29",641658,"Garrett Hampson","29","100.0","0.407","0.185","0.370","0.593","0.408","0.334","0.327","11","27","82.2","14.0","2277","89.0","89.05","0","29","0","0.0","6.00","105","148","108","147","307","321","296"
"29",669256,"Nick Solak","29","100.0","0.448","0.207","0.429","0.655","0.468","0.417","0.390","13","29","88.7","8.7","2259","87.6","87.01","0","29","0","-0.6","5.91","107","150","121","146","306","318","282"
"29",668942,"Josh Rojas","29","100.0","0.310","0.172","0.286","0.483","0.335","0.356","0.334","9","29","88.9","15.6","2107","87.6","87.35","0","29","0","-0.2","6.00","113","152","119","150","302","332","306"
"29",444489,"Manny Pina","29","100.0","0.483","0.241","0.464","0.724","0.509","0.424","0.404","14","29","89.8","8.8","2004","88.3","88.41","0","29","0","0.1","6.16","108","151","118","148","302","319","294"
"29",455117,"Martin Maldonado","29","100.0","0.276","0.345","0.192","0.621","0.369","0.346","0.292","8","29","84.6","15.3","2150","89.0","88.59","0","29","0","-0.4","6.00","106","150","120","146","291","323","287"
"29",595978,"Austin Hedges","29","100.0","0.286","0.250","0.231","0.536","0.343","0.273","0.259","8","28","81.4","14.6","2240","87.7","87.45","0","29","0","-0.3","6.02","109","151","116","144","299","322","293"
"29",543105,"Alex Dickerson","29","100.0","0.241","0.069","0.241","0.310","0.236","0.255","0.270","7","29","86.9","15.7","2210","86.8","86.45","0","29","0","-0.4","5.93","115","148","117","152","297","327","305"
"29",571771,"Enrique Hernandez","29","100.0","0.429","0.286","0.393","0.714","0.463","0.402","0.379","12","28","84.8","20.1","2153","90.8","90.68","0","29","0","-0.1","6.13","111","152","116","147","301","319","296"
"29",518586,"Charlie Culberson","29","100.0","0.286","0.071","0.286","0.357","0.276","0.331","0.309","8","28","86.9","8.9","2278","89.2","88.86","0","29","0","-0.3","5.94","105","148","110","144","302","320","283"
"28",642133,"Rowdy Tellez","28","100.0","0.214","0.143","0.185","0.357","0.240","0.294","0.265","6","28","86.2","13.8","2247","85.9","85.21","0","28","0","-0.7","5.77","113","168","126","152","292","320","302"
"28",572033,"Josh Phegley","28","100.0","0.423","0.115","0.407","0.538","0.396","0.328","0.337","11","26","82.8","14.5","2259","86.6","86.37","0","28","0","-0.2","5.99","103","153","119","145","299","320","292"
"28",622666,"Johan Camargo","28","100.0","0.222","0.111","0.192","0.333","0.236","0.341","0.348","6","27","84.2","8.3","2150","90.5","90.34","0","28","0","-0.2","5.99","112","147","111","148","293","321","292"
"28",600858,"Humberto Arteaga","28","100.0","0.250","0.071","0.250","0.321","0.244","0.300","0.284","7","28","85.5","18.9","2188","87.2","87.31","0","28","0","0.1","6.14","105","152","113","148","294","313","279"
"28",543228,"Yan Gomes","28","100.0","0.321","0.143","0.321","0.464","0.333","0.284","0.253","9","28","86.4","17.9","2215","89.3","88.98","0","28","0","-0.3","5.91","111","152","117","147","304","324","295"
"28",649557,"Aledmys Diaz","28","100.0","0.370","0.148","0.333","0.519","0.365","0.327","0.347","10","27","87.8","12.4","2347","87.8","87.18","0","28","0","-0.6","5.86","103","152","120","145","296","324","288"
"28",621035,"Chris Taylor","28","100.0","0.393","0.286","0.370","0.679","0.447","0.384","0.358","11","28","84.7","10.2","2175","88.9","88.83","0","28","0","-0.1","6.09","110","152","115","146","305","320","293"
"27",664056,"Harrison Bader","27","100.0","0.370","0.259","0.346","0.630","0.417","0.412","0.326","10","27","90.8","16.2","2350","88.0","87.74","0","27","0","-0.3","5.98","106","152","112","145","306","323","299"
"27",448801,"Chris Davis","27","100.0","0.240","0.280","0.160","0.520","0.291","0.410","0.350","6","25","88.0","14.2","2203","89.3","89.08","0","27","0","-0.2","6.09","114","171","136","153","296","327","309"
"27",664238,"Dylan Moore","27","100.0","0.296","0.481","0.208","0.778","0.435","0.434","0.353","8","27","90.6","23.8","2252","89.5","89.33","0","27","0","-0.2","6.09","106","153","116","148","304","318","279"
"27",595981,"Scott Heineman","27","100.0","0.259","0.111","0.259","0.370","0.267","0.272","0.288","7","27","84.8","14.9","2211","87.6","87.68","0","27","0","0.1","6.11","106","150","118","148","303","317","280"
"27",425772,"Jeff Mathis","27","100.0","0.259","0.111","0.259","0.370","0.267","0.226","0.238","7","27","81.6","20.2","2196","86.7","86.66","0","27","0","0.0","6.12","108","152","115","147","302","314","281"
"27",518960,"Jonathan Lucroy","27","100.0","0.296","0.074","0.296","0.370","0.286","0.243","0.234","8","27","84.3","18.4","2145","87.8","87.76","0","27","0","0.0","6.11","109","149","119","146","300","312","281"
"26",608385,"Jesse Winker","26","100.0","0.346","0.192","0.320","0.538","0.374","0.371","0.363","9","26","87.0","8.6","2175","87.1","86.75","0","26","0","-0.3","5.96","119","149","113","151","298","322","301"
"26",547004,"Rio Ruiz","26","100.0","0.308","0.423","0.217","0.731","0.426","0.369","0.305","8","26","88.7","11.1","2236","90.5","90.35","0","26","0","-0.2","6.17","114","158","123","148","289","322","300"
"26",445988,"Martin Prado","26","100.0","0.280","0.000","0.269","0.280","0.236","0.292","0.294","7","25","88.6","15.1","2271","90.9","90.49","0","26","0","-0.4","5.95","109","150","116","142","302","316","285"
"25",545358,"Max Stassi","25","100.0","0.125","0.000","0.120","0.125","0.105","0.171","0.183","3","24","84.5","12.8","2302","90.5","90.27","0","25","0","-0.2","6.02","107","152","121","147","296","318","290"
"25",541650,"Hernan Perez","25","100.0","0.400","0.080","0.400","0.480","0.379","0.331","0.300","10","25","90.1","11.2","2280","88.4","88.22","0","25","0","-0.2","6.02","104","151","113","147","302","320","292"
"25",608365,"Addison Russell","25","100.0","0.280","0.240","0.217","0.520","0.334","0.300","0.258","7","25","83.1","7.6","2139","89.5","89.42","0","25","0","-0.1","6.04","111","149","114","145","299","315","287"
"25",431145,"Russell Martin","25","100.0","0.240","0.160","0.208","0.400","0.269","0.355","0.320","6","25","90.3","10.9","2208","87.4","87.05","0","25","0","-0.3","5.97","110","152","116","147","305","319","292"
"25",641856,"Billy McKinney","25","100.0","0.320","0.320","0.261","0.640","0.398","0.360","0.341","8","25","87.2","12.8","2237","90.2","90.10","0","25","0","-0.1","6.12","113","161","121","151","291","321","299"
"24",592325,"Ben Gamel","24","100.0","0.391","0.217","0.348","0.609","0.405","0.355","0.354","9","23","86.7","10.8","2182","90.0","90.20","0","24","0","0.2","6.20","118","148","115","152","293","319","302"
"24",543302,"Chris Herrmann","24","100.0","0.174","0.000","0.174","0.174","0.152","0.325","0.334","4","23","87.7","-1.2","2156","89.0","88.61","0","24","0","-0.4","5.86","114","150","114","152","289","321","303"
"24",641796,"Tim Locastro","24","100.0","0.333","0.042","0.333","0.375","0.306","0.313","0.333","8","24","85.1","12.5","2367","90.0","90.12","0","24","0","0.1","6.23","104","153","102","145","305","321","293"
"24",591971,"Breyvic Valera","24","100.0","0.250","0.125","0.250","0.375","0.262","0.264","0.265","6","24","82.1","21.5","2230","89.4","88.59","0","24","0","-0.8","5.81","109","151","113","150","283","315","289"
"24",592743,"Andrelton Simmons","24","100.0","0.208","0.125","0.174","0.333","0.229","0.240","0.227","5","24","87.3","11.5","2305","89.3","88.99","0","24","0","-0.3","6.03","106","152","112","146","294","318","291"
"23",664034,"Ty France","23","100.0","0.261","0.087","0.261","0.348","0.260","0.281","0.306","6","23","88.7","18.4","2356","86.3","85.59","0","23","0","-0.7","5.86","108","153","118","146","304","324","288"
