"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"763",446308,"Matt Wieters","763","100.0","0.214","0.220","0.223","0.435","0.296","0.289","0.223","36","168","88.8","13.8","2274","88.9","88.58","81","338","421","-0.3","6.01","112","159","120","150","299","325","303"
"2470",519203,"Anthony Rizzo","2470","100.0","0.293","0.227","0.306","0.520","0.394","0.390","0.300","150","512","88.8","12.4","2224","88.8","88.56","222","1125","1314","-0.2","6.02","115","164","121","152","297","327","304"
"2494",645277,"Ozzie Albies","2494","100.0","0.295","0.205","0.325","0.500","0.358","0.351","0.291","189","640","88.8","15.6","2207","88.7","88.44","318","1383","1104","-0.3","5.99","113","152","111","149","298","323","299"
"2089",452678,"Asdrubal Cabrera","2089","100.0","0.260","0.181","0.294","0.441","0.335","0.318","0.241","116","447","88.8","14.1","2243","88.9","88.49","196","947","1135","-0.4","6.00","113","155","120","147","297","322","299"
"2458",458015,"Joey Votto","2458","100.0","0.261","0.150","0.313","0.411","0.335","0.343","0.256","137","525","88.8","15.0","2232","88.9","88.59","200","1019","1434","-0.3","6.00","115","154","122","150","292","319","301"
"1121",457727,"Cameron Maybin","1121","100.0","0.285","0.209","0.365","0.494","0.367","0.337","0.258","68","239","88.8","11.1","2253","88.1","87.74","133","469","651","-0.4","6.02","107","152","114","147","304","321","285"
"1870",624415,"Cavan Biggio","1870","100.0","0.234","0.195","0.309","0.429","0.346","0.345","0.240","83","354","88.7","20.1","2217","88.8","88.33","175","672","1193","-0.5","5.98","115","156","116","152","289","324","303"
"711",642136,"Matt Thaiss","711","100.0","0.211","0.211","0.264","0.422","0.307","0.287","0.212","31","147","88.7","15.3","2248","89.2","88.79","106","321","390","-0.4","5.97","115","156","121","150","290","317","298"
"1632",573262,"Mike Yastrzemski","1632","100.0","0.272","0.245","0.325","0.518","0.357","0.344","0.258","101","371","88.7","18.5","2221","89.1","88.70","212","769","851","-0.4","5.93","115","149","109","151","294","326","306"
"1176",543768,"Travis Shaw","1176","100.0","0.157","0.113","0.216","0.270","0.250","0.278","0.183","36","230","88.7","24.4","2255","88.8","88.46","158","524","642","-0.3","6.04","116","160","121","151","297","323","301"
"2013",543877,"Christian Vazquez","2013","100.0","0.276","0.201","0.305","0.477","0.336","0.316","0.254","133","482","88.7","12.9","2252","89.0","88.75","206","1004","1007","-0.2","6.06","107","151","118","147","293","321","289"
"1496",596105,"Dwight Smith Jr","1496","100.0","0.241","0.171","0.274","0.412","0.303","0.292","0.243","86","357","88.7","7.2","2225","87.7","87.22","191","678","809","-0.5","5.93","113","147","107","149","288","318","297"
"1455",643376,"Danny Jansen","1455","100.0","0.207","0.153","0.230","0.360","0.278","0.314","0.247","72","347","88.7","16.1","2261","88.7","88.33","140","684","766","-0.4","6.02","106","151","118","146","296","323","291"
"2316",488726,"Michael Brantley","2316","100.0","0.311","0.191","0.320","0.503","0.371","0.362","0.303","179","575","88.7","10.6","2220","89.1","88.58","109","1012","1294","-0.5","5.96","113","152","118","150","286","324","300"
"747",444489,"Manny Pina","747","100.0","0.228","0.184","0.284","0.411","0.311","0.310","0.229","36","158","88.6","16.2","2231","89.1","88.89","92","338","405","-0.2","6.07","108","149","116","146","302","321","292"
"2435",643217,"Andrew Benintendi","2435","100.0","0.266","0.165","0.333","0.431","0.333","0.340","0.267","144","541","88.6","17.3","2234","88.9","88.60","315","1246","1176","-0.3","6.03","113","150","113","151","281","322","307"
"803",596103,"Austin Slater","803","100.0","0.238","0.179","0.337","0.417","0.324","0.331","0.239","40","168","88.6","3.2","2223","88.7","88.41","111","338","463","-0.3","5.97","108","151","115","148","306","325","294"
"2485",516770,"Starlin Castro","2485","100.0","0.270","0.165","0.293","0.436","0.310","0.310","0.268","172","636","88.6","10.9","2264","89.3","88.99","234","1223","1259","-0.3","6.07","109","152","117","146","306","320","289"
"1567",500874,"Jose Martinez","1567","100.0","0.269","0.141","0.328","0.410","0.326","0.343","0.272","90","334","88.6","6.8","2301","89.1","88.84","156","677","887","-0.3","6.03","110","152","120","148","311","328","297"
"2231",518792,"Jason Heyward","2231","100.0","0.251","0.177","0.281","0.429","0.331","0.333","0.269","129","513","88.6","11.1","2240","89.1","88.80","230","1012","1211","-0.3","6.02","118","154","115","150","294","323","304"
"1281",435263,"Brian McCann","1281","100.0","0.249","0.162","0.261","0.412","0.315","0.314","0.241","69","277","88.6","11.3","2214","89.6","89.41","107","560","715","-0.2","6.05","115","165","130","152","300","324","300"
"1288",643565,"Mike Tauchman","1288","100.0","0.277","0.227","0.333","0.504","0.368","0.323","0.248","72","260","88.5","11.5","2207","88.8","88.41","120","554","731","-0.4","6.00","115","149","111","151","289","321","296"
"2362",453568,"Charlie Blackmon","2362","100.0","0.314","0.262","0.334","0.576","0.392","0.362","0.294","182","580","88.5","14.5","2248","89.1","88.98","230","1174","1174","-0.1","5.95","120","155","118","151","301","332","308"
"1189",572287,"Mike Zunino","1189","100.0","0.165","0.147","0.220","0.312","0.238","0.271","0.194","44","266","88.4","19.2","2255","88.8","88.16","234","610","575","-0.6","5.93","106","152","121","145","299","328","295"
"976",640449,"Clint Frazier","976","100.0","0.267","0.222","0.329","0.489","0.338","0.315","0.245","60","225","88.4","15.4","2289","88.8","88.38","140","430","543","-0.4","5.98","108","152","118","147","306","326","292"
"2067",643446,"Jeff McNeil","2067","100.0","0.318","0.214","0.337","0.531","0.389","0.355","0.290","162","510","88.4","13.2","2221","88.9","88.55","247","1238","804","-0.4","6.03","115","151","108","151","290","321","300"
"1308",571431,"Matt Adams","1308","100.0","0.226","0.239","0.284","0.465","0.311","0.318","0.227","70","310","88.4","19.2","2233","88.9","88.52","219","655","651","-0.4","5.99","117","164","129","151","302","325","304"
"1765",457763,"Buster Posey","1765","100.0","0.257","0.111","0.296","0.368","0.300","0.315","0.254","104","405","88.4","9.1","2237","88.7","88.34","154","828","930","-0.4","5.93","109","152","119","147","306","324","293"
"1855",571771,"Enrique Hernandez","1855","100.0","0.237","0.174","0.266","0.411","0.305","0.308","0.242","98","414","88.4","19.5","2254","88.7","88.41","232","876","973","-0.3","6.01","107","151","114","146","301","322","297"
"444",607054,"Jace Peterson","444","100.0","0.220","0.110","0.267","0.330","0.260","0.284","0.246","22","100","88.4","10.3","2292","88.3","87.94","63","206","236","-0.4","5.93","118","150","113","149","288","317","300"
